Motor Name,Manufacturer,Max Thrust (g or kg),Recommended ESC,Recommended Propeller,Motor Product Link,ESC Product Link,Propeller Product Link,Category,motor_diameter_od,motor_holes_mount_diameter,screw_type,shaft_diameter
"Air Gear 355 (Quick-Release Version)_AirGear Combo Set_Propulsion Systems_T-Motor Official Store | Drone Motors, ESCs & Propellers for UAVs",T-Motor,1202.0g,N/A,MF9545,https://store.tmotor.com/product/air-gear-355-quick-release-version.html,,,5kg Class,37.3,,,
MN1118 70kg MTOW Industrial Heavy Duty Multirotor UAV Motor,T-Motor,39239.0g,M200A14S,VZ40x16.1,https://store.tmotor.com/product/mn1118-multirotor-uav-motor.html,,https://store.tmotor.com/product/vz40-16-1-carbon-fiber-vtol-propeller.html,50kg Class,120.5,,,12
U11Ⅱ KV120  Industrial UAV Motor for Heavy-lift Drones,T-Motor,14159.0g,N/A,"T-MOTOR 26*8.5"" CF / T-MOTOR 27*8.8"" CF / T-MOTOR 28*9.2"" CF",https://store.tmotor.com/product/u11-v2-motor-u-power.html,,,10kg Class,79.5,,,15
MN1123 80kg MTOW Industrial Heavy Duty Waterproof Motor,T-Motor,47460.0g,M200A24S,VZ42 x16.5,https://store.tmotor.com/product/mn1123-multirotor-uav-motor.html,,,50kg Class,120.5,,,12
P80Ⅲ Pin Agricultural UAV / Drone Motor KV100 | T-Motor Store,T-Motor,18291.0g,FLAME 80A,"T-MOTOR G29*9.5"" CF / T-MOTOR G30*10.5"" CF / T-MOTOR G32*11"" CF / T-MOTOR MF3016 / T-MOTOR MF3218",https://store.tmotor.com/product/P80-v3-pin-kv100-p-type.html,https://store.tmotor.com/product/flame-80a-12s-v2-esc.html,,20kg Class,91.6,,,15
Antigravity MN4006 EVO KV380 Ultralight UAV / Drone Motor,T-Motor,2543.0g,N/A,P15 / P16,https://store.tmotor.com/product/mn4006-EVO-kv380-motor-antigravity-type.html,,https://store.tmotor.com/product/polish-carbon-fiber-15x5-prop.html,5kg Class,44.1,,,4
Antigravity MN6007II Aerial Photograph UAV Motor - Longer Flight Time,T-Motor,6419.0g,FLAME 60A,"P21*6.3"" / P22*6.6""",https://store.tmotor.com/product/mn6007-v2-motor-antigravity-type.html,https://store.tmotor.com/product/flame-60a-12s-V2-esc.html,,5kg Class,67.2,99,,6
GB2208 Gimbal Motor for GoPro-Class Cameras | Smooth & Precise,T-Motor,0.0g,N/A,N/A,https://store.tmotor.com/product/gb2208-gimbal-type.html,,,No Thrust,27.5,,,
U15L KV43 Manned Drone Motor - 63kg Max.Thrust,T-Motor,63000.0g,N/A,N/A,https://store.tmotor.com/product/u15l-manned-aircraft-uav-motor.html,,,50kg Class,151.5,,,25
Antigravity MN2806 EVO KV650 UAV Motor - Higher Thrust,T-Motor,1389.45g,AIR40A 6S,P12*4/P13*4.4,https://store.tmotor.com/product/antigravity-mn2806-evo-motor.html,,https://store.tmotor.com/product/polish-carbon-fiber-12x4-prop.html,5kg Class,34,85,M6,4
MN1320 100kg MTOW Pro High Thrust Multirotor Drone Motor,T-Motor,58958.0g,M200A24S,NS45 x17.5,https://store.tmotor.com/product/mn1320-multirotor-uav-motor.html,,,50kg Class,150,,,
Antigravity MN5008 KV170 UAV Motor - Ultralight & Longer Flight Time,T-Motor,4215.0g,AIR 40A,"P15-17""",https://store.tmotor.com/product/mn5008-kv170-motor-antigravity-type.html,https://store.tmotor.com/product/air-40a-6s-esc.html,,5kg Class,55.6,,,6
